PERSON_ID,DISPLAY_FIRST_LAST,BIRTHDATE,Age,JERSEY,TEAM_NAME,POSITION,DRAFT_NUMBER,TEAM_CONFERENCE,HEADSHOT
1630548,Johnny Juzang,17-Mar-2001,22,33,Jazz,Guard,Undrafted,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630548.png
202685,Jonas Valanciunas,6-May-1992,31,17,Pelicans,Center,5,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202685.png
1628371,Jonathan Isaac,3-Oct-1997,25,1,Magic,Forward,6,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628371.png
1630228,Jonathan Kuminga,6-Oct-2002,20,0,Warriors,Forward,7,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630228.png
203903,Jordan Clarkson,7-Jun-1992,31,0,Jazz,Guard,46,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203903.png
1630692,Jordan Goodwin,23-Oct-1998,24,0,Suns,Guard,Undrafted,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630692.png
1629162,Jordan McLaughlin,9-Apr-1996,27,6,Timberwolves,Guard,Undrafted,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629162.png
1629670,Jordan Nwora,9-Sep-1998,25,13,Pacers,Forward,45,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629670.png
1629673,Jordan Poole,19-Jun-1999,24,13,Wizards,Guard,28,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629673.png
1630631,Jose Alvarado,12-Apr-1998,25,15,Pelicans,Guard,Undrafted,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630631.png
1630528,Josh Christopher,8-Dec-2001,21,9,Grizzlies,Guard,24,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630528.png
1630581,Josh Giddey,10-Oct-2002,20,3,Thunder,Guard,6,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630581.png
1630182,Josh Green,16-Nov-2000,22,8,Mavericks,Guard,18,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630182.png
1628404,Josh Hart,6-Mar-1995,28,3,Knicks,Guard,30,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628404.png
1631169,Josh Minott,25-Nov-2002,20,8,Timberwolves,Forward,45,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631169.png
1629006,Josh Okogie,1-Sep-1998,25,2,Suns,Guard,20,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629006.png
1626196,Josh Richardson,15-Sep-1993,29,2,Heat,Guard,40,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626196.png
201950,Jrue Holiday,12-Jun-1990,33,21,Bucks,Guard,17,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201950.png
1630550,JT Thor,26-Aug-2002,21,21,Hornets,Forward,37,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630550.png
1629308,Juan Toscano-Anderson,10-Apr-1993,30,95,Jazz,Forward,Undrafted,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629308.png
1630577,Julian Champagnie,29-Jun-2001,22,30,Spurs,Forward,Undrafted,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630577.png
203944,Julius Randle,29-Nov-1994,28,30,Knicks,Forward-Center,7,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203944.png
1630551,Justin Champagnie,29-Jun-2001,22,99,Heat,Guard-Forward,Undrafted,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630551.png
203200,Justin Holiday,5-Apr-1989,34,0,Nuggets,Forward-Guard,Undrafted,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203200.png
1631171,Justin Lewis,12-Apr-2002,21,34,Bulls,Forward,Undrafted,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631171.png
1626159,Justise Winslow,26-Mar-1996,27,26,Trail Blazers,Forward-Guard,10,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626159.png
203994,Jusuf Nurkic,23-Aug-1994,29,27,Trail Blazers,Center,16,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203994.png
1630539,Kai Jones,19-Jan-2001,22,23,Hornets,Center-Forward,19,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630539.png
1626157,Karl-Anthony Towns,15-Nov-1995,27,32,Timberwolves,Center-Forward,1,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626157.png
202695,Kawhi Leonard,29-Jun-1991,32,2,Clippers,Forward,15,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202695.png
1631099,Keegan Murray,19-Aug-2000,23,13,Kings,Forward,4,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631099.png
1628966,Keita Bates-Diop,23-Jan-1996,27,21,Suns,Forward,48,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628966.png
1629640,Keldon Johnson,11-Oct-1999,23,3,Spurs,Forward-Guard,29,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629640.png
203482,Kelly Olynyk,19-Apr-1991,32,41,Jazz,Forward-Center,13,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203482.png
1626162,Kelly Oubre Jr.,9-Dec-1995,27,12,Hornets,Forward-Guard,15,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626162.png
1631112,Kendall Brown,11-May-2003,20,10,Pacers,Guard,48,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631112.png
1629134,Kendrick Nunn,3-Aug-1995,28,20,Wizards,Guard,Undrafted,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629134.png
1631254,Kenneth Lofton Jr.,14-Aug-2002,21,6,Grizzlies,Forward,Undrafted,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631254.png
1629026,Kenrich Williams,2-Dec-1994,28,34,Thunder,Guard-Forward,Undrafted,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629026.png
203484,Kentavious Caldwell-Pope,18-Feb-1993,30,5,Nuggets,Guard,8,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203484.png
1630231,Kenyon Martin Jr.,6-Jan-2001,22,6,Clippers,Forward,52,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630231.png
1631165,Keon Ellis,8-Jan-2000,23,23,Kings,Guard,Undrafted,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631165.png
1630553,Keon Johnson,10-Mar-2002,21,6,Trail Blazers,Guard,21,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630553.png
1630556,Kessler Edwards,9-Aug-2000,23,17,Kings,Forward,44,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630556.png
201142,Kevin Durant,29-Sep-1988,34,35,Suns,Forward,2,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201142.png
1628989,Kevin Huerter,27-Aug-1998,25,9,Kings,Guard-Forward,19,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628989.png
1628995,Kevin Knox II,11-Aug-1999,24,11,Trail Blazers,Forward,9,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628995.png
201567,Kevin Love,7-Sep-1988,35,0,Heat,Forward-Center,5,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201567.png
1629645,Kevin Porter Jr.,4-May-2000,23,3,Rockets,Guard-Forward,30,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629645.png
1630284,Kevon Harris,24-Jun-1997,26,7,Magic,Guard,Undrafted,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630284.png
1626172,Kevon Looney,6-Feb-1996,27,5,Warriors,Forward,30,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626172.png
203920,Khem Birch,28-Sep-1992,30,24,Spurs,Center,Undrafted,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203920.png
203114,Khris Middleton,12-Aug-1991,32,22,Bucks,Forward,39,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203114.png
1630165,Killian Hayes,27-Jul-2001,22,7,Pistons,Guard,7,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630165.png
1630184,Kira Lewis Jr.,6-Apr-2001,22,13,Pelicans,Guard,13,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630184.png
202691,Klay Thompson,8-Feb-1990,33,11,Warriors,Guard,11,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202691.png
1627739,Kris Dunn,18-Mar-1994,29,11,Jazz,Guard,5,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627739.png
204001,Kristaps Porzingis,2-Aug-1995,28,6,Celtics,Forward-Center,4,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/204001.png
203937,Kyle Anderson,20-Sep-1993,29,5,Timberwolves,Forward-Guard,30,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203937.png
1628398,Kyle Kuzma,24-Jul-1995,28,33,Wizards,Forward,27,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628398.png
200768,Kyle Lowry,25-Mar-1986,37,7,Heat,Guard,24,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200768.png
202681,Kyrie Irving,23-Mar-1992,31,2,Mavericks,Guard,1,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202681.png
1630205,Lamar Stevens,9-Jul-1997,26,8,Cavaliers,Forward,Undrafted,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630205.png
1630163,LaMelo Ball,22-Aug-2001,22,1,Hornets,Guard,3,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630163.png
1629013,Landry Shamet,13-Mar-1997,26,20,Wizards,Guard,26,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629013.png
1626204,Larry Nance Jr.,1-Jan-1993,30,22,Pelicans,Forward-Center,27,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626204.png
1628374,Lauri Markkanen,22-May-1997,26,23,Jazz,Forward-Center,7,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628374.png
2544,LeBron James,30-Dec-1984,38,23,Lakers,Forward,1,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2544.png
1631311,Lester Quinones,16-Nov-2000,22,25,Warriors,Guard,Undrafted,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631311.png
1629623,Lindell Wigginton,28-Mar-1998,25,28,Bucks,Guard,,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629623.png
1630322,Lindy Waters III,28-Jul-1997,26,12,Thunder,Forward,Undrafted,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630322.png
1629022,Lonnie Walker IV,14-Dec-1998,24,8,Nets,Guard-Forward,18,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629022.png
1628366,Lonzo Ball,27-Oct-1997,25,2,Bulls,Guard,2,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628366.png
1629663,Louis King,6-Apr-1999,24,23,76ers,Forward,Undrafted,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629663.png
1629652,Luguentz Dort,19-Apr-1999,24,5,Thunder,Guard,Undrafted,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629652.png
1629029,Luka Doncic,28-Feb-1999,24,77,Mavericks,Forward-Guard,3,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629029.png
1630568,Luka Garza,27-Dec-1998,24,55,Timberwolves,Center,52,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630568.png
1628379,Luke Kennard,24-Jun-1996,27,10,Grizzlies,Guard,12,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628379.png
1628436,Luke Kornet,15-Jul-1995,28,40,Celtics,Center-Forward,Undrafted,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628436.png
1630644,Mac McClung,6-Jan-1999,24,9,76ers,Guard,Undrafted,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630644.png
1630201,Malachi Flynn,9-May-1998,25,22,Raptors,Guard,29,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630201.png
1631103,Malaki Branham,12-May-2003,20,22,Spurs,Forward,20,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631103.png
1627763,Malcolm Brogdon,11-Dec-1992,30,13,Celtics,Guard,36,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627763.png
1627736,Malik Beasley,26-Nov-1996,26,5,Bucks,Guard,19,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627736.png
1628370,Malik Monk,4-Feb-1998,25,0,Kings,Guard,11,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628370.png
1629603,Mamadi Diakite,21-Jan-1997,26,21,Cavaliers,Forward,Undrafted,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629603.png
202694,Marcus Morris Sr.,2-Sep-1989,34,8,Clippers,Forward,14,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202694.png
203935,Marcus Smart,6-Mar-1994,29,36,Grizzlies,Guard,6,West,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203935.png
1630699,MarJon Beauchamp,12-Oct-2000,22,0,Bucks,Forward,24,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630699.png
1631109,Mark Williams,16-Dec-2001,21,5,Hornets,Center,15,East,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631109.png
